#name=My Kana
#description=My Hiragana and katakana
KK;HG;RU
ア;あ;а
イ;い;и
ウ;う;у
ェ;え;э
オ;お;о
カ;か;ка
キ;き;ки
ク;く;ку
ヶ;け;кэ
コ;こ;ко
サ;さ;са
シ;し;щи / си
ス;す;су
セ;せ;сэ
ソ;そ;со
ン;ん;н
タ;た;та
チ;ち;чи / ти
ツ;つ;цу
テ;て;тэ
ト;と;то
ナ;な;на
二;に;ни
ヌ;ぬ;ну
ネ;ね;нэ
ノ;の;но
ハ;は;ха / ва
ヒ;ひ;хи
フ;ふ;фу
ヘ;へ;хэ
ホ;ほ;хо
マ;ま;ма
ミ;み;ми
ム;む;му
メ;め;мэ
モ;も;мо
ヤ;や;я
ユ;ゆ;ю
ヨ;よ;ё
ラ;ら;ра
リ;り;ри
ル;る;ру
レ;れ;рэ
ロ;ろ;ро
ヮ;わ;ва
ヲ;を;во
ガ;が;га
ギ;ぎ;ги
グ;ぐ;гу
ゲ;げ;гэ
ゴ;ご;го
ザ;ざ;дза
ジ;じ;дзи
ズ;ず;дзу
ゼ;ぜ;дзэ
ゾ;ぞ;дзо
ダ;だ;да
ヂ;ぢ;дзи
ヅ;づ;дзу
デ;で;дэ
ド;ど;до
バ;ば;ба
ビ;び;би
ブ;ぶ;бу
ベ;べ;бэ
ボ;ぼ;бо
パ;ぱ;па
ピ;ぴ;пи
プ;ぷ;пу
ペ;ぺ;пэ
ポ;ぽ;по
キャ;きゃ;кя
キュ;きゅ;кю
キョ;きょ;кё
シャ;しゃ;щя / ся
シュ;しゅ;щю / сю
ショ;しょ;сё
チャ;ちゃ;чя / тя
チュ;ちゅ;чю / тю
チョ;ちょ;чё / тё
二ャ;にゃ;ня
二ュ;にゅ;ню
二ョ;にょ;нё
ヒャ;ひゃ;хя
ヒュ;ひゅ;хю
ヒョ;ひょ;хё
ミャ;みゃ;мя
ミュ;みゅ;мю
ミョ;みょ;мё
ギャ;ぎゃ;гя
ギュ;ぎゅ;гю
ギョ;ぎょ;гё
ジャ;じゃ;дзя
ジュ;じゅ;дзю
ジョ;じょ;дзё
ヂャ;ぢゃ;дя
ヂュ;ぢゅ;дю
ヂョ;ぢょ;дё
ビャ;びゃ;бя
ビュ;びゅ;бю
ビョ;びょ;бё
ピャ;ぴゃ;пя
ピュ;ぴゅ;пю
ピョ;ぴょ;пё
リャ;りゃ;ря
リュ;りゅ;рю
リョ;りょ;рё
