#name=My Kanji N2
#description=My JLPT N2
KANJI;ONKUN;RUS
与;ヨ・あた(える);давать, наносить,  ставить (задачу)
並;ヘイ・な(み)・なら(べる)・なら(ぶ)・なら(び);средний, обычный, ставить в ряд, стоять в ряд, ряд, линия
乱;ラン・みだ(れる)・みだ(す);беспорядок, быть в беспорядке, приводить в беспорядок 
乳;ニュウ・ちち・ち;молоко, грудь, вымя
乾;カン・ケン・かわ(く)・ひ(る)・かわ(かす)・ほ(す);сухой, сохнуть, сушить, осушать
了;リョウ・りょう(する);понимать, заканчивать
互;ゴ・たが(い);взаимный
亡;ボウ・ない・な(くなる)・な(くす);покойный, скончаться, терять (кого-л близкого)
介;カイ・かい(して);посредничать, через посредство кого-л
伸;シン・の(びる)・の(ばす);растягиваться, тянуться, растягивать, выпрямлять
伺;シ・うかが(う);осведомляться, посещать, навещать
供;キョウ・そな(える)・とも;предоставлять, приносить в жертву, спутник, свита
依;イ・エ・よ(る);зависеть от чего-л, прибегать к чему-л
倍;バイ;удваивать, двойной
値;チ・ね・あたい;величина, цена, стоимость, ценность
偉;イ・えら(い);великий, выдающийся, замечательный, сильный
偶;グウ・たま;чётный, чётность, время от времени, нечасто
傾;ケイ・かたむ(く)・かたむ(ける);наклон, наклоняться, быть склонным, наклонять, склонять
億;オク;сто миллионов
児;ジ・ニ・こ;дитя, ребенок
党;トウ;политическая партия
兵;ヘイ・つわもの;солдат, армия, воин, ратник
冊;サツ;том, сч. суф. для книг и толстых тетрадей
凍;トウ・こお(る)・こご(える)・こお(らす);замерзать, застывать, коченеть, замораживать
処;ショ・ところ;распоряжаться, место
到;トウ・いた(る);доходить, достигать
券;ケン;билет, купон, облигация, свидетельство
刺;シ・さ(す)・さ(さる)・とげ;вонзать, втыкать, вонзиться, застрять, шип, игла
劇;ゲキ・はげ(しい);театр, драма, пьеса, яростный, страстный
効;コウ・き(く);эффект, действие, быть эффективным
勇;ユウ・いさ(む);храбрость, мужество, ободриться, воспрянуть духом
募;ボ・つの(る);вербовать, объявлять набор, проводить подписку
勤;キン・つと(める)・つと(まる);исполнять обязанности, служить, исполнять роль, годиться, справляться
匹;ヒツ・ひき;сч. суф. для мелких животных
占;セン・し(める)・うらな(う);занимать (место), гадать
卵;ラン・たまご;яйцо, икра
双;ソウ・ふた;пара, оба
収;シュウ・おさ(める)・おさ(まる);доход, получать, уплачивать, быть помещённым к-л, улаживаться
叫;キョウ・さけ(ぶ);крик, кричать, призывать
召;ショウ・め(す);вызывать, звать, посылать за кем-л
否;ヒ・いな・いや;или нет, нет
含;ガン・ふく(む)・ふく(める);содержать, держать во рту, таить в душе, включать, растолковывать
咲;ショウ・さ(く);цвести
喫;キツ・きっ(する);закусывать, пить, есть, курить
圧;アツ・お(す);давление, давить, сжимать
均;キン・なら(す)・ひと(しい);равнять, выравнивать, равный, одинаковый
坊;ボウ・ぼう(や)・ぼう(さん);мальчик, мальчуган, буддийский монах
埋;マイ・う(める)・う(まる);зарывать, хоронить, быть зарытым, быть засыпанным
城;ジョウ・しろ;замок
域;イキ;район, пределы, границы, стадия, уровень
塔;トウ;башня, пагода, обелиск
塗;ト・ぬ(る)・まみ(れる);намазывать, красить, вымазаться, быть покрытым
塩;エン・しお;соль
央;オウ;центр
奥;オウ・おく・おく(まる);глубь, внутренняя часть, скрытое, находить в глубине
姓;セイ;фамилия
委;イ・ゆだ(ねる)・まか(せる);поручать, доверять
娘;ジョウ・むすめ;дочь, девушка
存;ソン・ゾン・そん(する)・ぞん(じる);существовать, сохраняться, знать, быть знакомым
宅;タク;ваш дом
宇;ウ;вселенная, мир, космос, большое здание, крыша
宝;ホウ・たから;сокровище
封;フウ・ホウ・ふう(じる);запечатывать, запечатывание
専;セン・もっぱ(ら);специальный, исключительно, всецело
将;ショウ・まさ(に);генерал, вот-вот, почти что
尊;ソン・たっと(ぶ)・とうと(ぶ)・たっと(い)・とうと(い);почитать, уважать, почтенный, уважаемый
届;カイ・とど(け)・とど(ける)・とど(く);извещение, доставлять, доходить, достигать
層;ソウ;слой, пласт, прослойка
巨;キョ;огромный, великий
巻;カン・ケン・ま(き)・ま(く);свиток, том, книга, свертывать, скручивать, заводить часы
帽;ボウ;головной убор, шляпа
幅;フク・はば;ширина
干;カン・ほ(す)・ひ(る);сухой, сушить, осушать, сохнуть, высыхать
幼;ヨウ・おさな(い);младенец, младенческий, детский, незрелый
幾;キ・いく(つ)・いく(ら);сколько?, сколько лет?, сколько стоит?
庁;チョウ;администрация, управление, ведомство
床;ショウ・とこ・ゆか・ゆか(しい);постель, стенная ниша, пол, восхитительный
延;エン・のば(す)・の(びる)・の(べ);растягивать, продлевать, простираться, тянуться, отсрочка платежа
律;リツ・りっ(する);ритм, закон, правило, судить о чем-л
復;フク・また・ふく(する);восстановление, снова, возвращаться к чему-л, возвращать себе
快;カイ・こころよ(い);приятный, прекрасный
怖;フ・こわ(い)・こわ(がる)・お(じる)・おそ(れる);страшный, бояться, страшиться
恋;レン・こい・こ(いしい);любовь, любимый, возлюбленный
恐;キョウ・おそ(れる)・おそ(ろしい)・こわ(い)・こわ(がる);страх, бояться, страшный, бояться
恥;チ・はじ・は(じる)・は(ずかしい);стыд, стыдиться, стыдный
患;カン・わずら(い)・わずら(う);больной, болезнь, болеть
