#name=My Kanji N5
#description=My JLPT N5
KANJI;ONKUN;RUS
一;イチ・イツ・ひと(つ);один
七;シチ・なな(つ)・なな;семь
万;マン・バン・よろず;десять тысяч
三;サン・み(つ)・みっ(つ);три
上;ジョウ・うえ・あ(がる);верх, подниматься, повышаться
下;カ・ゲ・した・さ(げる)・さ(がる);низ, вешать, свешиваться
中;チュウ・なか・うち;середина, внутренняя часть, внутри
九;キュウ・ク・ここの(つ);девять
二;ニ・ジ・ふた(つ);два
五;ゴ・いつ(つ);пять
人;ジン・ニン・ひと;человек
今;コン・キン・いま;сейчас
休;キュウ・やす(み)・やす(む);отдых, отдыхать, не работать
会;カイ・あ(う);встреча, собрание, встречаться
住;ジュウ・ヂュウ・チュウ・す(む);жить, проживать
何;カ・なに・なん;что?
先;セン・さき・まず;впереди, кончик, острие, раньше, сначала, прежде всего
入;ニュウ・い(る)・い(れる)・はい(る);входить, вставлять, входить
八;ハチ・や(つ)・やっ(つ);восемь
六;ロク・む(つ)・むっ(つ);шесть
円;エン・まる(い)・まる;иена, круглый, круг
出;シュツ・で(る)・だ(す);выходить, появляться, вынимать, выдавать
分;ブン・フン・ブ・わ(かる)・わ(ける)・わ(かれる);доля, минута, процент, понимать, делить, разделяться
前;ゼン・まえ;перед, впереди, передний
北;ホク・きた;север
十;ジュウ・ジッ・ジュッ・とお;десять
千;セン・ち;тысяча
午;ゴ・うま;полдень, Лошадь
半;ハン・なかば;половина, наполовину, в середине
南;ナン・みなみ;юг
友;ユウ・とも;друг
口;コウ・ク・くち;рот
古;コ・ふる(い);старый
右;ウ・ユウ・みぎ;правый
名;メイ・ミョウ・な;имя, название, репутация, известность
四;シ・よ(つ)・よっ(つ)・よん;четыре
国;コク・くに;страна, государство, родина
土;ド・ト・つち;земля, почва
夕;セキ・ゆう;вечер
外;ガイ・ゲ・そと・ほか;вне, снаружи, на улице, другой, кроме
多;タ・おお(い);много, частый
夜;ヤ・よる;ночь, поздний вечер
大;ダイ・タイ・おお(きい);большой
天;テン・あめ;небо
女;ジョ・ニョ・ニョウ・おんな;женщина
子;シ・ス・こ;ребенок
学;ガク・まな(ぶ);учение, знание, наука, изучать
安;アン・やす(い);дешевый, спокойный
家;カ・ケ・いえ・うち;дом
小;ショウ・ちい(さい)・こ-;маленький
少;ショウ・すく(ない)・すこ(し);мало, немножко
山;サン・やま;гора
川;セン・かわ;река
左;サ・ひだり;левый
年;ネン・とし;год
広;コウ・ひろ(い)・ひろ(がる)・ひろ(める);широкий, расширяться, расширять
店;テン・みせ;магазин, лавка
後;ゴ・コウ・あと・のち・うし(ろ);после, потом, позади, сзади
思;シ・おも(う);думать, полагать
手;シュ・て;рука
新;シン・あたら(しい)・あらた・あら-;новый
日;ニチ・ジツ・ひ;день, солнце
昼;チュウ・ひる;дневное время, середина дня
時;ジ・とき;время, час
書;ショ・か(く);писать
月;ゲツ・ガツ・つき;месяц, луна
有;ユウ・ウ・あ(る);иметься, существовать, быть
朝;チョウ・あさ;утро
木;ボク・モク・き;дерево
本;ホン・もと;книга, источник, основа
来;ライ・タイ・く(る);приходить, прибывать, наступать (о времени года)
東;トウ・ひがし;восток
校;コウ・キョウ;школа
歩;ホ・ブ・ある(く);ходить (пешком)
母;ボ・はは;мама
毎;マイ・ごと;каждый (день, етк)
気;キ・ケ・き;дух, воздух, пар, атмосфера, чувства, настроение
水;スイ・みず;вода
火;カ・ひ;огонь, пламя
父;フ・ちち;папа
生;セイ・ショウ・い(きる)・う(まれる)・う(む)・なま;жизнь, жить, быть живым, рождаться, рождать, приносить, сырой
男;ダン・ナン・おとこ;мужчина
白;ハク・ビャク・しろ(い)・しろ;белый, белый цвет
百;ヒャク・ビャク・もも;сто, много
目;モク・ボク・め;глаз, суффикс порядковых числительных
知;チ・し(る)・し(らせ)・し(らせる);знания, знать, извещение, извещать
社;シャ・やしろ;фирма, синтоистское святилище
私;シ・わたくし・わたし;я, частный, личный
空;クウ・そら・あ(く);пуста, небо, быть пустым
立;リツ・た(つ)・た(てる);стоять, ставить
紙;シ・かみ;бумага
耳;ジ・みみ;ухо
聞;ブン・モン・き(く)・き(こえる);слышать, спрашивать, быть слышным, звучать
花;カ・はな;цветок
行;コウ・ギョウ・い(く)・ゆ(く)・おこな(う);идти, ходить, уходить, совершать, осуществлять
西;セイ・サイ・ス・にし;Запад
見;ケン・み(る)・み(える)・み(せる);видеть, смотреть, виднеться, показываться, показывать
言;ゲン・ゴン・い(う);слово, говорить
話;ワ・はな(す)・はなし;говорить, рассказывать, разговор, беседа
語;ゴ・かた(る);язык, говорить, рассказывать
読;ドク・よ(む);читать
買;バイ・か(う);покупать
赤;セキ・あか(い)・あか;красный, красный цвет
走;ソウ・はし(る);бежать, ехать (о машине)
足;ソク・あし;нога
車;シャ・くるま;машина, повозка
近;キン・ちか(い);близкий
週;シュウ;неделя
道;ドウ・みち;дорога, путь, расстояние
金;キン・コン・かね;золото, деньги, металл
銀;ギン・しろがね;серебро
長;チョウ・なが(い);длинный
間;カン・ケン・あいだ・ま;интервал, промежуток, период, комната
雨;ウ・あめ・あま;дождь
電;デン;электричество
食;ショク・た(べる);еда, есть
飲;イン・の(む);пить
駅;エキ;станция
高;コウ・たか(い)・たか・たか(まる)・たか(める);высокий, дорогой, количество, повышение, повышаться, повышать
魚;ギョ・さかな;рыба
