#name=My Vocab TORFL A1
#description=My TORFL
RU;JP
а;あ
август;<８月|はちがつ>
автобус;バス
адрес;<住所|じゅうしょ>
алло;もしもし
английский;<英語|えいご>
апрель;<４月|しがつ>
аптека;<薬屋|くすりや>・<薬局|やっきょく>
артист;<俳優|はいゆう> (男)
артистка;<俳優|はいゆう> (女)
аудитория;<講堂|こうどう>
аэропорт;<空港|くうこう>
бабушка;<お祖母さん|おばあさん>
банк;<銀行|ぎんこう>
баскетбол;<籠球|ろうきゅう>
библиотека;<図書館|としょかん>
бизнесмен;<営業マン|えいぎょうマン>
билет;<切符|きっぷ>・チケット
биолог;<生物学者|せいぶつがくしゃ>
болен;<病気な|びょうきな>
большой;<大きい|おおきい>
брат;<兄|あに>・<弟|おとうと>
буква;<字|じ>
буфет;<食堂|しょくどう>
быстро;<速く|はやく>
быть;<居る|いる>
в (во);<中|なか>・で・に・へ
ваш;あなたの
весёлый;<楽しい|たのしい>
весна;<春|はる>
весной;<春|はる>に
вечер;<夜|よる>
вечером;<夜|よる>に
видеть;<見る|みる>
виза;ビザ
вместе;<一緒に|いっしょに>・<一緒で|いっしょで>
внимательно;<細心な|さいしんな>
вода;<水|みず>
вокзал;<駅|えき>・<駅頭|えきとう>
волейбол;<排球|はいきゅう>
вопрос;<質問|しつもん>
восемнадцатый;<第１８|だいじゅうはち>
восемнадцать;<１８|じゅうはち>
восемь;<８|はち>・<８つ|やっつ>
восемьдесят;<８０|はちじゅう>
восемьсот;<８００|はっぴゃく>
воскресенье;<日曜日|にちようび>
восьмой;<第８|だいはち>
вот;これ・それ
врач;<医者|いしゃ>
время;<時間|じかん>
всегда;いつも
вторник;<火曜日|かようび>
второй;<第２|だいに>
вчера;<昨日|きのう>
вы;あなた
выйти (можно выйти);<出る|でる>・<出かける|でかける>
выступать;<公演する|こうえんする>
выступить;<公演して来る|こうえんしてくる>
выучить;<覚える|おぼえる>
газета;<新聞|しんぶん>
где;どこ・どちら
говорить;<話す|はなす>
год;<年|ねん>
город;<市|し>
гостиница;ホテル
готовить;<作る|つくる>
грамматика;<文法|ぶんぽう>
громко;<大声で|おおごえで>
группа;グループ
гулять;<散歩する|さんぽする>
да;ええ・はい
дарить;<贈る|おくる>
дата;<年月日|ねんがっぴ>
дать (дай(те));くださる
два;<２|に>・<２つ|ふたつ>
две;<２つ|ふたつ>
двадцатый;<第２０|だいにじゅう>
двадцать;<２０|にじゅう>
двенадцатый;<第１２|だいじゅうに>
двенадцать;<１２|じゅうに>
дверь;<門戸|もんこ>
двести;<２００|にひゃく>
двойка;ツー
девочка;<女の子|おんなのこ>
девушка;<少女|しょうじょ>
девяносто;<９０|くじゅう>
девятнадцатый;<第１９|だいじゅうきゅう>
девятнадцать;<１９|じゅうきゅう>
девятый;<第９|だいきゅう>
девять;<９|きゅう>・<９つ|ここのつ>
девятьсот;<９００|くひゃく>
дедушка;<お祖父さん|おじいさん>
декабрь;<１２月|じゅうにがつ>
декан;<学部長|がくぶちょう>
деканат;<学部|がくぶ>
делать;する・やる
день;<日|ひ>
деньги;<お金|おかね>
деревня;<村|むら>
десятый;<第１０|だいじゅう>
десять;<１０|じゅう>・<とう>
дети;<子供たち|こどもたち>
детский;<子供の|こどもの>
диктант;<書取|かきとり>
дискотека;ディスコ
днём;<昼に|ひるに>
до свидания;<左様なら|さようなら>
добрый день;こんにちは
доброе утро;おはようございます
дождь;<雨|あめ>
документ;<文書|ぶんしょ>
должен;…なければならない
долго;<長く|ながく>
дом;<家|うち>
дома;<家で|うちで>・<家に|うちに>
домой;<家へ|うちへ>・<家に|うちに>
доска;<板|いた>
дорога;<道|みち>
дорогой (друг);<親愛な|しんあいな>
дочь;<娘|むすめ>
друг;<友達|ともだち>
думать;<思う|おもう>
его;<彼の|かれの>
ездить;<通う|かよう>
если;もし
есть (ест);<食べる|たべる>
ехать;<行く|いく>
ещё;まだ
жаль;<残念|ざんねん>
жарко;<暑く|あつく>
ждать;<待つ|まつ>
жена;<妻|つま>・<奥さん|おくさん>
женщина;<女|おんな>
жить;<生きる|いきる>
журнал;<雑誌|ざっし>
журналист;<記者|きしゃ>（男）
журналистка;<記者|きしゃ>（女）
завод;<工場|こうじょう>
завтра;<明日|あした>
завтрак;<朝御飯|あさごはん>
завтракать;<朝御飯を食べる|あさごはんをたべる>
задачи;<課題|かだい>・<問題|もんだい>
закрыть;<閉める|しめる>
зал;ホール
заниматься;する
занят;<忙しい|いそがしい>
звать (зовут);<言う|いう>
звонить;<電話を掛ける|でんわをかける>
звук;<音|おと>
здание;ビル・<建物|たてもの>
здесь;ここ・こちら・こっち
здравствуйте;こんにちは
зима;<冬|ふゆ>
зимой;<冬に|ふゆで>
знать;<知る|しる>
знакомиться;<知り合う|しりあう>
значить;<意味する|いみする>
зоопарк;<動物園|どうぶつえん>
и;と
играть;<遊ぶ|あそぶ>
идти;<行く|いく>
из;から
извини(те);すみません・しつれいします
изучать;<勉強する|べんきょうする>
изучить;<勉強して来る|べんきょうしてくる>
или;か…か
имя;<名前|なまえ>
инженер;<技師|ぎし>
иногда;<時々|ときどき>
иностранец;<外国人|がいこくじん>（男）
иностранка;<外国人|がいこくじん>（女）
иностранный;<外国の|がいこくの>
институт;<大学|だいがく>
интересно;<面白く|おもしろく>
интересный;<面白い|おもしろい>
историк;<史学者|しがくしゃ>
история;<歴史|れきし>
их;<彼らの|かれらの>
июль;<７月|しちがつ>
июнь;<６月|ろくがつ>
кабинет;<室|しつ>
каждый;<毎|まい>・<各|かく>
как;どう・どうやって
какой;どんな
карандаш;<鉛筆|えんぴつ>
карта;<地図|ちず>
картина;<絵|え>
касса;レジ
кассета;テープ
кафе;<喫茶店|きっさてん>
квартира;アパート
кино;<映画|えいが>
кинотеатр;<映画館|えいがかん>
киоск;<売店|ばいてん>
класс;クラス・<教室|きょうしつ>
клуб;クラブ
ключ;<鍵|かぎ>
книга;<本|ほん>
когда;いつ
комната;<部屋|へや>
компьютер;コンピューター
конец;<終わり|おわり>
конечно;もちろん
концерт;コンサート
копейка;コペイカ（１/100 ルーブル)
костюм;スーツ
кофе;コーヒー
красивый;<美しい|うつくしい>・きれいな
красиво;<美しく|うつくしく>・きれいに
кто;だれ
куда;どちら
купить;<買う|かう>
курить;<吸う|すう>
кухня;<台所|だいどころ>
лампа;<電灯|でんとう>
ладно;オッケー
лёгкий;<軽い|かるい>
лёгкий;<易しい|やさしい>
легко;<楽に|らくに>
лекарство;<薬|くすり>
лекция;<講義|こうぎ>
лето;<夏|なつ>
летом;<夏に|なつに>
литература;<文学|ぶんがく>
любимый;<好きな|すきな>
любить;<愛してる|あいしてる>
люди;<人たち|ひとたち>
магазин;<店|みせ>
магнитофон;テープレコーダー
май;<５月|ごがつ>
маленький;<小さい|ちさい>
мало;<少し|すこし>
мальчик;<男の子|おとこのこ>
мама;<母|はは>
марка;<切手|きって>
