#name=My Vocab N3 (1)
#description=My JLPT N3
JP;JP_KANA;RU
;あっ;Ах! Ох!
愛;あい;любовь
愛情;あいじょう;любовь, привязанность
合図;あいず;сигнал, знак
;アイスクリーム;мороженное
愛する;あいする;любить
相手;あいて;партнёр, собеседник, компаньон, оппонент
;あいにく;к сожалению, к несчастью, жаль
;アイロン;утюг
;アウト;аут, вне
明かり;あかり;свет, освещение, лампа
空き;あき;пустой промежуток, свободное место, отверстие
明らか;あきらか;очевидный, явный, понятный
諦める;あきらめる;махнуть рукой, отказаться
飽きる;あきる;приедаться, наскучивать, терять интерес
握手;あくしゅ;рукопожатие
悪魔;あくま;злой дух, демон, дьявол
明ける;あける;светать, рассветать, открывать
預ける;あずける;давать на хранение, класть на депозит
汗;あせ;пот
与える;あたえる;давать, присуждать, награждать
辺り;あたり;рядом, поблизости
当たる;あたる;попадать, ударяться, иметь успех, соответствовать
;あちこち;тут и там, там и сям, повсюду
扱う;あつかう;пользоваться, работать (инструментом), обращаться с ч-л
集まり;あつまり;собрание, встреча, сбор (налога)
当てる;あてる;попадать, прикладывать, угадывать, попадать в самую точку
跡;あと;след, следы, отпечаток, развалины, рубец
穴;あな;дыра, отверстие
浴びる;あびる;принимать ванну, душ, обливаться
油;あぶら;масло
余り;あまり;излишек, остаток, не очень (с отриц.)
誤り;あやまり;ошибка, оплошность
粗;あら;грубый, приблизительный, недостаток, отбросы
嵐;あらし;буря, шторм
新た;あらた;новый, свежий
;あらゆる;всевозможные, всяческие, все
表す;あらわす;выражать, показывать
現す;あらわす;проявлять, выказывать, обнаруживать
現れ;あらわれ;проявление, выражение
現れる;あらわれる;проявляться, показываться, выявляться
有る;ある;быть, существовать, иметься (для неодушевленных)
或;ある;некий, некоторый, какой-то
或は;あるいは;или, либо, возможно
;アルバム;альбом
泡;あわ;пузырь, пена
合わせる;あわせる;соединять, согласовывать
哀れ;あわれ;печаль, сострадание
案;あん;план, проект, идея
暗記;あんき;заучивание наизусть
安定;あんてい;равновесие, стабильность, устойчивость
案内;あんない;информация, гид, проводник
;あんなに;так, настолько
;あんまり;остаток, не очень (с отриц.)
胃;い;желудок
委員;いいん;член комитета
意外;いがい;неожиданный, непредвиденный
行き;いき・ゆき;направляющийся в
息;いき;дыхание
勢い;いきおい;сила, мощь, энергия
生き物;いきもの;живое существо, животное
幾つ;いくつ;как много? сколько лет?
幾ら;いくら;сколько стоит?
;いけない;нельзя, не следует, плохой, неправильный
医師;いし;доктор, врач
意思;いし;намерение, цель
意志;いし;воля, стремление
維持;いじ;поддержание, сохранение
意識;いしき;сознание, осознание
異常;いじょう;странность, необычный, экстраординарный
泉;いずみ;источник, родник
;いずれ;который, какой
以前;いぜん;до, раньше, перед
板;いた;доска, плита
偉大;いだい;величие, великий
抱く;いだく;обнимать, держать в руках
悪戯;いたずら;шалость, озорство
;いただきます;приятного аппетита (перед едой)
頂く;いただく;получать, принимать, есть и пить (скромно)
痛み;いたみ;боль, повреждение
至る;いたる;доходить, достигать
市;いち;рынок, базар
位置;いち;место, расположение, координаты
一時;いちじ;час, некоторое время, временный
一度に;いちどに;одновременно, сразу
市場;いちば・しじょう;рынок
;いつか;когда-нибудь
一家;いっか;дом, семья
一種;いっしゅ;разновидность, вид, сорт
一瞬;いっしゅん;мгновение, момент
一生;いっしょう;вся жизнь
一層;いっそう;еще больше
一体;いったい;одно целое, тело, собственно говоря, на самом деле
一致;いっち;согласие, совпадение, единство
何時でも;いつでも;в любое время, всегда, все время
一般;いっぱん;обыкновенный, общепринятый, обычный
一方;いっぽう;одна сторона, другая сторона
何時までも;いつまでも;навсегда, сколько угодно
何時も;いつも;всегда, обычно, все время, никогда с отрицанием
移動;いどう;движение, перемещение
従兄弟・従姉妹;いとこ;двоюродный брат, двоюродная сестра
稲;いね;рис (на корню)
居眠り;いねむり;дремота
命;いのち;жизнь
違反;いはん;нарушение
衣服;いふく;одежда
居間;いま;гостиная
今に;いまに;сейчас, сию минуту, все ещё
今にも;いまにも;в любой момент
否;いや・いいえ・いな;нет
以来;いらい;со времени (чего-то), с тех пор, после
依頼;いらい;просьба, поручение, поручать, доверять
苛々;いらいら;раздражаться, нервничать
;いらっしゃい;Добро пожаловать!
医療;いりょう;лечение
岩;いわ;скала, риф
祝い;いわい;поздравление, празднование
祝う;いわう;поздравлять, праздновать
言わば;いわば;так сказать, одним словом
所謂;いわゆる;так называемый
;インク;чернила
印刷;いんさつ;печатание, печатать
印象;いんしょう;впечатление
引退;いんたい;отставка, уход
引用;いんよう;цитата, цитировать
;ウイスキー;виски
上;うわ;верхний, наружный
魚;うお;рыба
;うがい;полоскание рта, горла
伺う;うかがう;посещать, навешать, спрашивать (скромно)
受け取る;うけとる;получать, принимать
動かす;うごかす;двигать, приводить в движение
兎;うさぎ;заяц, кролик
牛;うし;бык, корова, крупный рогатый скот
失う;うしなう;терять, утратить
疑う;うたがう;сомневаться, не доверять, подозревать
宇宙;うちゅう;космос, вселенная
撃つ;うつ;бить, ударять, нападать, разрушать
移す;うつす;перемещать, переносить, заражать
訴える;うったえる;жаловаться, обращаться, прибегать
;うなる;стонать, рычать, выть
奪う;うばう;отнимать, захватывать, овладевать
馬;うま;лошадь, конь
生まれ;うまれ;рождение, место рождение
梅;うめ;слива (японская)
裏切る;うらぎる;предавать, изменять, обманывать
売れる;うれる;продаваться
噂;うわさ;слухи, молва
運;うん;судьба, участь
柄;え;ручка, рукоятка
永遠;えいえん;вечность
永久;えいきゅう;вечность
影響;えいきょう;влияние, воздействие
営業;えいぎょう;бизнес, предприятие, работать (о магазине)
衛星;えいせい;спутник (астрономия)
栄養;えいよう;питание
笑顔;えがお;улыбающееся лицо, улыбка
描く;えがく;рисовать, чертить, обрисовывать
餌;えさ;корм, приманка
;エネルギー;энергия
得る;うる・える;получать, добывать, мочь
延期;えんき;отсрочка, пролонгация
演技;えんぎ;игра, исполнение
援助;えんじょ;помощь, поддержка
;エンジン;двигатель, мотор
演説;えんぜつ;речь, выступление
演奏;えんそう;музыкальное выступление, исполнение
老い;おい;старость, старик
追い付く;おいつく;догонять, настигать
王;おう;король, монарх
追う;おう;гнать, выгонять, преследовать
王様;おうさま;король
王子;おうじ;принц
応じる;おうじる;откликаться, соглашаться, соответствовать
横断;おうだん;пересечение, переход
終える;おえる;заканчивать, завершать
大いに;おおいに;очень, весьма, в значительной степени
覆う;おおう;покрывать, заслонять, скрывать
大家;おおや;домовладелец, арендодатель
丘;おか;холм, возвышенность
沖;おき;открытое море
奥;おく;внутренняя часть
贈る;おくる;преподносить, дарить, награждать, присваивать
起こる;おこる;случаться, происходить
幼い;おさない;младенческий, детский, неопытный
収める;おさめる;получать, приобретать, собирать, вносить, уплачивать
;おじいさん;дедушка, пожилой человек
;おしゃべり;болтовня, пустословие
汚染;おせん;пятно, грязь, пачкать загрязнять
;おそらく;пожалуй, вероятно
恐れる;おそれる;бояться, опасаться
恐ろしい;おそろしい;страшный, ужасный
お互い;おたがい;взаимный, обоюдный
穏やか;おだやか;спокойный, тихий, умеренный
劣る;おとる;быть хуже, уступать
鬼;おに;чёрт, демон, энтузиаст
帯;おび;пояс (широкий японский)
お昼;おひる;обед, полдень
;オフィス;офис
溺れる;おぼれる;тонуть, быть погруженным (увлеченным)
お前;おまえ;ты (грубо)
;おめでとう;поздравляю!
お目に掛かる;おめにかかる;(скромно) видеть, встречаться с к-л
思い出;おもいで;воспоминания
主に;おもに;главным образом, в основном
思わず;おもわず;невольно, нечаянно
親;おや;родители
泳ぎ;およぎ;плавание
;およそ;в общем, приблизительно
及ぼす;およぼす;распространять, оказывать (влияние), причинять (беспокойство)
居る;おる;быть, находиться (скромно для одушевленных)
下ろす;おろす;опускать, спускать, снимать, давать сойти, помочь выйти
恩;おん;благодеяние, одолжение
温暖;おんだん;тепло, теплый
温度;おんど;температура
可;か;удовлетворительно (оценка)
課;か;урок, сч. суф. разделов (в книгах)
;カー;машина
会;かい;заседание, собрание, общество
回;かい;сч. суф. раз
害;がい;вред, ущерб
会員;かいいん;членство, член (клуба)
絵画;かいが;картина, рисунок
海外;かいがい;заграница, иностранный
会計;かいけい;счёт, расчёт, бухгалтерия
解決;かいけつ;решение, урегулирование (вопроса, конфликта)
会合;かいごう;встреча, сбор, свидание
外交;がいこう;дипломатия
開始;かいし;начало, открытие
解釈;かいしゃく;толкование, интерпретация, комментарий (к тексту)
外出;がいしゅつ;выход из дома, отлучка
改善;かいぜん;улучшение, усовершенствование
快適;かいてき;приятный, удобный
回復;かいふく;восстановление, выздоровление
飼う;かう;кормить, держать, выкармливать (животных)
替える・換える;かえる;менять, заменять, обменивать, конвертировать
香り;かおり;запах, аромат
画家;がか;художник, живописец
抱える;かかえる;держать в руках, обхватить руками, нести, иметь на руках
価格;かかく;цена, стоимость
化学;かがく;химия
輝く;かがやく;сверкать, блистать, сиять
係;かかり;обязанности, ответственное лицо
掛かる;かかる;требоваться (время, деньги), висеть, цепляться
罹る;かかる;заболеть чем-л, заразиться чем-л, страдать
限る;かぎる;ограничивать(ся), устанавливать
描く;かく;рисовать, чертить
家具;かぐ;мебель
学;がく;учение, знание, наука
額;がく;сумма, количество, картина в раме
覚悟;かくご;готовность, решимость
確実;かくじつ;надёжность, достоверность, несомненный факт
学者;がくしゃ;учёный, образованный человек
学習;がくしゅう;учеба, изучение
隠す;かくす;прятать, скрывать
拡大;かくだい;увеличение, расширение, эскалация (воен.)
確認;かくにん;подтверждение, признание
学問;がくもん;учение, занятие, образование
隠れる;かくれる;прятаться, скрываться, удалиться (от дел)
影;かげ;тень, силуэт, отражение
陰;かげ;тень, полумрак, оборотная сторона, недоступное взгляду место
欠ける;かける;недоставать, не хватать, быть отломанным, отколоться
加減;かげん;сложение и вычитание, регулирование, принимать во внимание
過去;かこ;прошлое
籠;かご;корзина, клетка
囲む;かこむ;окружать, брать в кольцо
火災;かさい;пожар
貸し;かし;прокат, ссуда, долг
家事;かじ;домашние дела, семейные обстоятельства
賢い;かしこい;умный, мудрый, сообразительный
歌手;かしゅ;певец, певица
数;かず;число, количество
稼ぐ;かせぐ;работать, зарабатывать
数える;かぞえる;считать, подсчитывать
型;かた;тип, форма, модель, шаблон
肩;かた;плечо
硬い;かたい;твердый, жесткий
方々;かたがた;(вежл.) господа
刀;かたな;катана, самурайский меч
語る;かたる;говорить, рассказывать
勝ち;かち;победа
価値;かち;ценность, стоимость
;がっかり;падать духом, унывать, вымотаться
活気;かっき;оживление, одушевление, подъем
学期;がっき;семестр
活動;かつどう;деятельность, активность
活用;かつよう;практическое применение (использование), (грам.) спряжение 
悲しむ;かなしむ;грустить, печалиться, горевать
必ずしも;かならずしも;(с отриц.) не всегда, не обязательно
;かなり;довольно, изрядно, порядочно, прилично
可能;かのう;возможность, возможный
株;かぶ;пень, корень, (перен.) основа, акция, пай
被る;かぶる;надевать на голову, быть облитым, брать вину на себя
構う;かまう;беспокоиться, обращать внимание, заботиться
我慢;がまん;терпение
上;かみ;верх, верхушка, верхи, власти
神;かみ;Бог
雷;かみなり;гром
髪の毛;かみのけ;волосы на голове
科目;かもく;предмет, учебный курс
かも知れない;かもしれない;может быть
火曜;かよう;(сокр.) вторник
空;から;пустота, вакуум
空の;からの;пустой, полый, порожний
柄;がら;узор, рисунок, телосложение, характер
刈る;かる;стричь, подрезать, косить, жать
皮;かわ;кожа, шкура, кожура, скорлупа
革;かわ;кожа (выделанная)
可哀相;かわいそう;бедный, жалкий, несчастный
可愛らしい;かわいらしい;миловидный, хорошенький, крошечный
缶;かん;жестяная банка, бидон
勘;かん;интуиция, инстинкт, чутьё
考え;かんがえ;мысль, идея, мнение, намерение
感覚;かんかく;ощущение, чувство (зрение, слух етк)
観客;かんきゃく;зритель, наблюдатель, аудитория
環境;かんきょう;окружающая среда, окружение
歓迎;かんげい;радушный приём
観光;かんこう;туризм, экскурсия, турпоездка
観察;かんさつ;наблюдение
感じ;かんじ;чувство, ощущение, впечатление
感謝;かんしゃ;благодарность, признательность
患者;かんじゃ;пациент
勘定;かんじょう;счёт, расчёт, уплата по счету, счета, ведение счетов
感情;かんじょう;эмоция, чувство
感じる;かんじる;чувствовать, ощущать, быть тронутым
感心;かんしん;восхищение, восторг
関心;かんしん;интерес, заинтересованность
関する;かんする;иметь отношение, касаться, ставить под угрозу
完成;かんせい;завершение, окончание
完全;かんぜん;совершенство, полностью
感動;かんどう;волнение, впечатление, быть тронутым
監督;かんとく;надзор, инспекция, контролер, режиссер
管理;かんり;управление, заведование, контроль
完了;かんりょう;завершение, окончание
関連;かんれん;связь, отношение
議員;ぎいん;член парламента или конгресса
記憶;きおく;память, воспоминание
気温;きおん;температура (воздуха)
議会;ぎかい;парламент, конгресс
期間;きかん;период, срок, продолжительность
機関;きかん;машина, мотор, двигатель, инструмент, аппарат
企業;きぎょう;предприятие (коммерческое, промышленное етк)
効く;きく;быть эффективным
機嫌;きげん;состояние здоровья, самочувствие, настроение
気候;きこう;климат, погода
岸;きし;берег
生地;せいち;место рождения
生地;きじ;материал, ткань, природные качества
記事;きじ;статья, заметка, репортаж, рассказ
技師;ぎし;инженер
記者;きしゃ;журналист, корреспондент
傷;きず;рана, травма, изъян, повреждение
期待;きたい;ожидания, надежды
帰宅;きたく;возвращение домой
貴重;きちょう;драгоценный, почетный
議長;ぎちょう;председатель, спикер
;きちんと;аккуратно, тщательно, точно, пунктуально
;きつい;сильный, храбрый, строгий, тесный, напряженный, крутой
気付く;きづく;обращать внимания, замечать, обнаруживать
気に入る;きにいる;нравиться, быть по душе
記入;きにゅう;запись, заполнение, внесение (в список)
記念;きねん;воспоминания, память
機能;きのう;функция, способность
気の毒;きのどく;бедный, несчастный, достойный сожаления
寄付;きふ;взнос, пожертвование
希望;きぼう;надежда, желание
基本;きほん;основа, база, фундамент, стандарт
決まり;きまり;решение, договоренность, порядок, правило
気味;きみ;чувство, ощущение, впечатление, признак
奇妙;きみょう;странный, необычный, удивительный
義務;ぎむ;долг, обязанность, обязательство
疑問;ぎもん;вопрос, сомнение
逆;ぎゃく;противоположный, обратный
;キャプテン;капитан
;キャンプ;лагерь
旧;きゅう;старое, прошлое, старый друг, старый стиль, бывший, экс-
級;きゅう;класс, курс, разряд, ранг, ступень
球;きゅう;сфера, сч. суф. для мячей (бейсбол), ламп
休暇;きゅうか;каникулы, отпуск
休憩;きゅうけい;отдых, перемена, перерыв, антракт
急激;きゅうげき;резкий, быстрый, стремительный, внезапный, крутой
吸収;きゅうしゅう;всасывание, впитывание, усвоение, восприятие
救助;きゅうじょ;спасение, помощь, содействие
急速;きゅうそく;быстрый, скорый, спешный (прогресс)
急に;きゅうに;быстро, вдруг, внезапно, неожиданно, сразу
給料;きゅうりょう;зарплата, жалованье
器用;きよう;умелый, искусный, способный, ловкий
教科書;きょうかしょ;учебник
競技;きょうぎ;(спорт.) игра, матч, соревнования
行儀;ぎょうぎ;манеры, воспитанность
供給;きょうきゅう;поставка, снабжение
教師;きょうし;учитель, преподаватель
教授;きょうじゅ;преподавание, обучение, профессор
強調;きょうちょう;подчеркивание, акцентирование, устойчивое состояние
共通;きょうつう;общность, общий, одинаковый
共同;きょうどう;сотрудничество, партнерство, объединение
恐怖;きょうふ;страх, боязнь
協力;きょうりょく;сотрудничество, взаимодействие, помощь
強力;きょうりょく;сила, мощь
許可;きょか;разрешение, санкция, лицензия
局;きょく;управление, бюро, департамент
巨大;きょだい;огромный, гигантский
嫌う;きらう;не любить, избегать, питать отвращение
霧;きり;туман
切れ;きれ;кусок, ломоть, клочок
切れる;きれる;быть острым, быть порезанным, прерываться, износиться
記録;きろく;запись, протокол, регистрация, рекорд
議論;ぎろん;спор, полемика, аргумент, точка зрения
金;きん;золото, деньги
銀;ぎん;серебро
禁煙;きんえん;не курить! запрет на курение
金額;きんがく;сумма денег
金庫;きんこ;сейф, касса, фонд
禁止;きんし;запрещение, запрет, бан
金銭;きんせん;деньги
金属;きんぞく;металл
近代;きんだい;современность, наши дни
緊張;きんちょう;напряжение, напряженность
筋肉;きんにく;мышцы, мускулы
金融;きんゆう;денежное обращение, финансовый рынок, банковская деятельность
金曜;きんよう;(сокр.) пятница
句;く;предложение, фраза, стихотворная строка
食う;くう;(муж., разг.) есть, кушать
偶然;ぐうぜん;случайность
臭い;くさい;зловонный, вонючий, подозрительный
鎖;くさり;цепь
腐る;くさる;гнить, протухать, скисать, портиться
癖;くせ;дурная привычка, манера, склонность
管;くだ;труба, трубка
具体;ぐたい;конкретность, материал
下さる;くださる;(уваж.) давать
下り;くだり;спуск, поезд из столицы
苦痛;くつう;боль, страдание
;ぐっすり;быстро и крепко засыпать (ономат.)
区別;くべつ;разница, различие, классификация
組;くみ;группа, класс, команда, множество
組合;くみあい;ассоциация, (проф)союз, объединение
組む;くむ;составлять, собирать, организовывать (группу), объединяться
曇;くもり;облачность, пасмурная погода, тень, хандра
位;くらい;ранг, чин, достоинство, положение, (мат.) десятичный разряд
暮らし;くらし;жизнь, существование, условия жизни
;クラシック;классика
暮らす;くらす;жить, существовать, проводить время
;グラス;стакан, рюмка
;グランド;великий, гланды, (элек.) земля
;クリーム;крем
繰り返す;くりかえす;повторять, делать снова
;クリスマス;Рождество
狂う;くるう;сойти с ума, помешаться, ломаться, выходить из строя
;グループ;группа
苦しい;くるしい;тяжелый, мучительный, причиняющий боль
苦しむ;くるしむ;страдать, мучиться
暮れ;くれ;заход солнца, сумерки, конец года или сезона
苦労;くろう;трудности, лишения, тяжелый труд, заботы
加える;くわえる;добавлять, прилагать, включать
詳しい;くわしい;подробный, детальный, точный, хорошо осведомленный
加わる;くわわる;присоединяться, участвовать, прибавляться, увеличиваться
訓;くん;кун (японское чтение иероглифа)
軍;ぐん;армия, войска
軍隊;ぐんたい;армия, войска, части
訓練;くんれん;тренировка, обучение, подготовка
下;げ;низший разряд, худшее
計;けい;план, замысел
敬意;けいい;уважение, почтение
経営;けいえい;управление (предприятием), менеджмент, эксплуатация
計画;けいかく;план, расчёт, проект, программа
景気;けいき;положение дел, настроение, состояние рынка, конъюнктура
経験;けいけん;опыт, практика
傾向;けいこう;тенденция, склонность, стремление
