#name=My Vocab N5
#description=My JLPT N5
JP;JP_KANA;RU
;ああ;ах, ой, да
会う;あう;встречаться, видеться
青・青い;あお・あおい;синий цвет, синий, голубой, зеленый, бледный
赤・赤い;あか・あかい;красный цвет, красный
明るい;あかるい;светлый, радостный, счастливый, честный
秋;あき;осень
開く;あく;открываться, раскрываться, освобождаться, быть свободным
開ける;あける;открывать
上げる;あげる;дарить, давать
朝;あさ;утро
朝御飯;あさごはん;завтрак
明後日;あさって;послезавтра
足;あし;нога, лапа
明日;あした;завтра
;あそこ;там (далеко)
遊ぶ;あそぶ;играть, развлекаться
暖かい;あたたかい;теплый
頭;あたま;голова
新しい;あたらしい;новый
;あちら;там, та сторона (далеко)
厚い;あつい;толстый (о плоских предметах), теплый, сердечный
暑い;あつい;жаркий
熱い;あつい;горячий (при касании)
後;あと;после, позади
;あなた;Вы
兄;あに;старший брат
姉;あね;старшая сестра
;あの…;мм…, послушайте
;あの;тот…
;アパート;квартира, апартаменты
浴びる;あびる;обливаться, принимать (ванну)
危ない;あぶない;опасный, рискованный
甘い;あまい;сладкий
;あまり;не очень (с отрицанием)
雨;あめ;дождь
飴;あめ;леденец
洗う;あらう;мыть, стирать, смывать
;ある;быть, находиться (для неодушевленных)
歩く;あるく;идти, ходить пешком
;あれ;то (далеко)
良い;いい・よい;хороший, подходящий
;いいえ;нет
;どういたしまして;не за что (на спасибо)
言う;いう;говорить, сказать, сообщать, рассказывать
家;いえ;дом
;いかが;как насчет… (кофе, чая)
行く;いく・ゆく;идти, ехать, направляться
;いくつ;сколько? сколько лет?
;いくら;сколько стоит?
池;いけ;пруд
医者;いしゃ;врач, доктор
椅子;いす;стул
忙しい;いそがしい;занятый
痛い;いたい;больно
;いただきます;приятного аппетита, отведаю (говорится перед едой)
一;いち;один
一々;いちいち;по одному
一日;いちにち;один день, целый день
一番;いちばん;самый, лучший
何時;いつ;когда
五日;いつか;пятое число, пять дней
一緒;いっしょ;вместе
一体;いったい;одно целое
五つ;いつつ;пять
;いつも;всегда
今;いま;сейчас
意味;いみ;смысл, значение
妹;いもうと;младшая сестра
嫌;いや;неприятный, противный
;いらっしゃいませ;добро пожаловать!
入口;いりぐち;вход
居る;いる;быть, существовать (об одушевлённых)
要る;いる;требоваться, нуждаться
入れる;いれる;вкладывать, вставлять
色;いろ;цвет
色々;いろいろ;различный
岩;いわ;скала
上;うえ;верх, верхняя часть
後ろ;うしろ;позади, сзади
薄い;うすい;тонкий, бледный (о цвете)
歌;うた;песня
歌う;うたう;петь
家;うち;дом
生まれる;うまれる;родиться
海;うみ;море
売る;うる;продавать
上着;うわぎ;пиджак, верхняя одежда
絵;え;картина, рисунок, иллюстрация
映画;えいが;кино, фильм
映画館;えいがかん;кинотеатр
英語;えいご;английский язык
;ええ;да
駅;えき;станция
;エレベーター;лифт
円;えん;иена, круг
鉛筆;えんぴつ;карандаш
御〜;お〜・ご〜;вежливый префикс
美味しい;おいしい;вкусный
大きい・大きな;おおきい・おおきな;большой
大勢;おおぜい;много народа, толпа
お母さん;おかあさん;(вежл.) мама
お菓子;おかし;сладости
お金;おかね;деньги
起きる;おきる;просыпаться
置く;おく;класть, ставить
奥さん;おくさん;(вежл.) жена, супруга, замужняя женщина
送る;おくる;посылать, отправлять, провожать
お酒;おさけ;сакэ, спиртные напитки
お皿;おさら;тарелка, блюдо
叔父さん・伯父さん・小父さん;おじさん;дядя
お爺さん・お祖父さん;おじいさん;дедушка
教える;おしえる;преподавать, учить, объяснять
押す;おす;толкать, нажимать, давить
遅い;おそい;поздний, медленный
お茶;おちゃ;зеленый чай
お手洗い;おてあらい;туалет, уборная
お父さん;おとうさん;(вежл.) отец
弟;おとうと;младший брат
男;おとこ;мужчина
男の子;おとこのこ;мальчик
一昨日;おととい・いっさくじつ;позавчера
一昨年;おととし・いっさくねん;позапрошлый год
大人;おとな;взрослый
お腹;おなか;живот, желудок
同じ;おなじ;одинаковый, такой же, тот же
お兄さん;おにいさん;(вежл.) старший брат
