#name=My Vocab N4
#description=My JLPT N4
JP;JP_KANA;RU
（~て）仕舞う;（て）しまう;полностью… (видовая форма)
（~に）就いて;（に）ついて;о, об
（~に）拠ると;（に）よると;согласно… по словам…
あ;あ;ах!
ああ;ああ;так, таким образом
挨拶（する）;あいさつ;приветствие, обращение
間;あいだ;промежуток, интервал
合う;あう;соответствовать, совпадать, быть правильным
赤ちゃん;あかちゃん;младенец
上がる;あがる;подниматься, взбираться, всходить, кушать
赤ん坊;あかんぼう;младенец
空く;あく;открываться, раскрываться, освобождаться, быть свободным
上げる・挙げる;あげる;поднимать, повышать
朝寝坊;あさねぼう;соня
味;あじ;вкус
明日;あす;завтра
遊び;あそび;игра
集まる;あつまる;собираться, встречаться, накапливаться
集める;あつめる;собирать, созывать, коллекционировать, накапливать
謝る;あやまる;извиняться
;アルコール;спирт, алкоголь
;アルバイト;подработка
安心（する）;あんしん（する）;спокойствие
安全;あんぜん;безопасность
;あんな;такой, такая
案内（する）;あんない（する）;гид, быть проводником, показывать дорогу
以下;いか;нижеследующий…, меньше…, менее
以外;いがい;кроме
如何;いかが;как насчет…?
医学;いがく;медицина (наука)
生きる;いきる;жить, быть живым
;いくら~ても;сколько бы ни…
意見;いけん;мнение, взгляд
石;いし;камень
苛める;いじめる;мучать, дразнить
以上;いじょう;свыше, более, сверх-, вышеуказанное
急ぐ;いそぐ;спешить
致す;いたす;делать
頂く;いただく;получать, брать, принимать, есть, пить (скромно о себе)
一度;いちど;(один) раз
;いっ(い)らっしゃい;счастливого пути!
一生懸命;いっしょうけんめい;изо всех сил
行って参ります;いってまいります;до свидания (я вернусь)
一杯;いっぱい;полный, один стакан, выпивка
一般（に）;いっぱん;общий, обычный, в общем
糸;いと;нить
以内;いない;в пределах, в течение, не свыше
田舎;いなか;деревня, сельская местность
祈る;いのる;молиться, желать (к-л ч-л)
;いらっしゃる;идти, приходить (вежл.)
~員;いん;член (комитета и др.)
植える;うえる;сажать (растения), выращивать
伺う;うかがう;посещать, навещать, спрашивать, осведомляться
受付;うけつけ;приём, справочное бюро, регистратура
受ける;うける;получать, принимать
動く;うごく;двигаться, работать (о механизме)
嘘;うそ;неправда, ложь
内;うち;между, в течение, внутри
打つ;うつ;бить, ударять
美しい;うつくしい;красивый
写す;うつす;снимать копию, фотографировать
移る;うつる;переходить, переезжать, быть заразным
映る;うつる;отражаться (в зеркале)
腕;うで;рука (от плеча до запястья)
